Station,State,District,Latitude,Longitude,rainfall_mm,timestamp,source_file
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,9.0,2014-08-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-08-13 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,27.0,2014-08-14 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,18.0,2014-08-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,16.0,2014-08-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2014-08-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-08-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2014-08-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-08-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,35.0,2014-08-21 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2014-08-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,8.0,2014-08-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2014-08-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
